Detector Type,Descriptor Type,Matching type,Sel Type,Frame_ID,Camera TTC (s),Lidar TTC(s),Difference TTC
HARRIS,HARRIS,ORB,MAT_BF,SEL_NN,4,11.57921612,13.12542026,-1.54620414
HARRIS,HARRIS,ORB,MAT_BF,SEL_NN,5,35.38326331,12.59510889,22.78815441
HARRIS,HARRIS,ORB,MAT_BF,SEL_NN,6,13.62170489,13.86901356,-0.24730867
HARRIS,HARRIS,ORB,MAT_BF,SEL_NN,7,13.60362420,15.15608686,-1.55246266
HARRIS,HARRIS,ORB,MAT_BF,SEL_NN,8,17.62038178,15.36522319,2.25515859
HARRIS,HARRIS,ORB,MAT_BF,SEL_NN,9,3.30058167,12.24264888,-8.94206721
HARRIS,HARRIS,ORB,MAT_BF,SEL_NN,11,11.81350253,10.49140265,1.32209988
HARRIS,HARRIS,ORB,MAT_BF,SEL_NN,12,11.10548382,10.09999603,1.00548780
HARRIS,HARRIS,ORB,MAT_BF,SEL_NN,13,13.43272518,9.22306851,4.20965668
HARRIS,HARRIS,ORB,MAT_BF,SEL_NN,14,5.85827709,10.96776340,-5.10948631
HARRIS,HARRIS,ORB,MAT_BF,SEL_NN,15,-13.62628338,8.09421824,-21.72050162
HARRIS,HARRIS,ORB,MAT_BF,SEL_NN,16,6.87134657,9.16582132,-2.29447475
HARRIS,HARRIS,ORB,MAT_BF,SEL_NN,17,12.58484506,9.85140428,2.73344078
HARRIS,HARRIS,FREAK,MAT_BF,SEL_NN,5,44.91661174,12.59510889,32.32150285
HARRIS,HARRIS,FREAK,MAT_BF,SEL_NN,6,14.70446498,13.86901356,0.83545142
HARRIS,HARRIS,FREAK,MAT_BF,SEL_NN,7,12.20000018,15.15608686,-2.95608668
HARRIS,HARRIS,FREAK,MAT_BF,SEL_NN,8,12.91621055,15.36522319,-2.44901264
HARRIS,HARRIS,FREAK,MAT_BF,SEL_NN,11,11.74142988,10.49140265,1.25002723
HARRIS,HARRIS,FREAK,MAT_BF,SEL_NN,13,13.43272518,9.22306851,4.20965668
HARRIS,HARRIS,FREAK,MAT_BF,SEL_NN,16,6.71705491,9.16582132,-2.44876642
HARRIS,HARRIS,SIFT,MAT_BF,SEL_NN,3,-20.09479732,16.96304201,-37.05783934
HARRIS,HARRIS,SIFT,MAT_BF,SEL_NN,4,11.57921612,13.12542026,-1.54620414
HARRIS,HARRIS,SIFT,MAT_BF,SEL_NN,5,13.64320606,12.59510889,1.04809717
HARRIS,HARRIS,SIFT,MAT_BF,SEL_NN,6,27.87440068,13.86901356,14.00538712
HARRIS,HARRIS,SIFT,MAT_BF,SEL_NN,7,13.49697723,15.15608686,-1.65910963
HARRIS,HARRIS,SIFT,MAT_BF,SEL_NN,8,17.62038178,15.36522319,2.25515859
HARRIS,HARRIS,SIFT,MAT_BF,SEL_NN,9,16.23963625,12.24264888,3.99698738
HARRIS,HARRIS,SIFT,MAT_BF,SEL_NN,10,-13.44052484,13.72965491,-27.17017975
HARRIS,HARRIS,SIFT,MAT_BF,SEL_NN,11,11.15516406,10.49140265,0.66376141
HARRIS,HARRIS,SIFT,MAT_BF,SEL_NN,12,12.24499429,10.09999603,2.14499827
HARRIS,HARRIS,SIFT,MAT_BF,SEL_NN,13,13.43272518,9.22306851,4.20965668
HARRIS,HARRIS,SIFT,MAT_BF,SEL_NN,14,12.14025153,10.96776340,1.17248813
HARRIS,HARRIS,SIFT,MAT_BF,SEL_NN,15,-inf,8.09421824,-inf
HARRIS,HARRIS,SIFT,MAT_BF,SEL_NN,16,6.76409602,9.16582132,-2.40172530
HARRIS,HARRIS,SIFT,MAT_BF,SEL_NN,17,12.66117285,9.85140428,2.80976857
FAST,FAST,BRIEF,MAT_BF,SEL_NN,1,43.46785365,12.97215890,30.49569474
FAST,FAST,BRIEF,MAT_BF,SEL_NN,2,10.21208530,12.26403761,-2.05195231
FAST,FAST,BRIEF,MAT_BF,SEL_NN,3,11.33478058,16.96304201,-5.62826144
FAST,FAST,BRIEF,MAT_BF,SEL_NN,4,12.61854627,13.12542026,-0.50687399
FAST,FAST,BRIEF,MAT_BF,SEL_NN,5,49.75703645,12.59510889,37.16192756
FAST,FAST,BRIEF,MAT_BF,SEL_NN,6,10.12613639,13.86901356,-3.74287717
FAST,FAST,BRIEF,MAT_BF,SEL_NN,7,11.49547345,15.15608686,-3.66061341
FAST,FAST,BRIEF,MAT_BF,SEL_NN,8,11.17438289,15.36522319,-4.19084030
FAST,FAST,BRIEF,MAT_BF,SEL_NN,9,12.87112651,12.24264888,0.62847763
FAST,FAST,BRIEF,MAT_BF,SEL_NN,10,17.91086108,13.72965491,4.18120616
FAST,FAST,BRIEF,MAT_BF,SEL_NN,11,11.68546790,10.49140265,1.19406525
FAST,FAST,BRIEF,MAT_BF,SEL_NN,12,6.76552114,10.09999603,-3.33447488
FAST,FAST,BRIEF,MAT_BF,SEL_NN,13,11.31409736,9.22306851,2.09102885
FAST,FAST,BRIEF,MAT_BF,SEL_NN,14,9.43822586,10.96776340,-1.52953753
FAST,FAST,BRIEF,MAT_BF,SEL_NN,15,11.08741627,8.09421824,2.99319803
FAST,FAST,BRIEF,MAT_BF,SEL_NN,16,10.13546899,9.16582132,0.96964767
FAST,FAST,BRIEF,MAT_BF,SEL_NN,17,12.05578169,9.85140428,2.20437741
FAST,FAST,BRIEF,MAT_BF,SEL_NN,18,13.01890799,8.30977868,4.70912931
FAST,FAST,ORB,MAT_BF,SEL_NN,1,43.46785365,12.97215890,30.49569474
FAST,FAST,ORB,MAT_BF,SEL_NN,2,11.62039062,12.26403761,-0.64364699
FAST,FAST,ORB,MAT_BF,SEL_NN,3,11.33478058,16.96304201,-5.62826144
FAST,FAST,ORB,MAT_BF,SEL_NN,4,12.60498936,13.12542026,-0.52043090
FAST,FAST,ORB,MAT_BF,SEL_NN,5,-inf,12.59510889,-inf
FAST,FAST,ORB,MAT_BF,SEL_NN,6,8.69195838,13.86901356,-5.17705518
FAST,FAST,ORB,MAT_BF,SEL_NN,7,11.49547345,15.15608686,-3.66061341
FAST,FAST,ORB,MAT_BF,SEL_NN,8,11.18686689,15.36522319,-4.17835630
FAST,FAST,ORB,MAT_BF,SEL_NN,9,11.50624317,12.24264888,-0.73640571
FAST,FAST,ORB,MAT_BF,SEL_NN,10,17.91086108,13.72965491,4.18120616
FAST,FAST,ORB,MAT_BF,SEL_NN,11,11.07849073,10.49140265,0.58708808
FAST,FAST,ORB,MAT_BF,SEL_NN,12,6.76552114,10.09999603,-3.33447488
FAST,FAST,ORB,MAT_BF,SEL_NN,13,11.70628976,9.22306851,2.48322126
FAST,FAST,ORB,MAT_BF,SEL_NN,14,9.40635341,10.96776340,-1.56140998
FAST,FAST,ORB,MAT_BF,SEL_NN,15,8.29658871,8.09421824,0.20237047
FAST,FAST,ORB,MAT_BF,SEL_NN,16,10.56069266,9.16582132,1.39487133
FAST,FAST,ORB,MAT_BF,SEL_NN,17,11.27657285,9.85140428,1.42516857
FAST,FAST,ORB,MAT_BF,SEL_NN,18,12.17287257,8.30977868,3.86309389
FAST,FAST,FREAK,MAT_BF,SEL_NN,1,12.39736031,12.97215890,-0.57479859
FAST,FAST,FREAK,MAT_BF,SEL_NN,2,79.48586719,12.26403761,67.22182958
FAST,FAST,FREAK,MAT_BF,SEL_NN,3,11.09790425,16.96304201,-5.86513776
FAST,FAST,FREAK,MAT_BF,SEL_NN,4,11.37579293,13.12542026,-1.74962734
FAST,FAST,FREAK,MAT_BF,SEL_NN,5,-inf,12.59510889,-inf
FAST,FAST,FREAK,MAT_BF,SEL_NN,6,10.41012434,13.86901356,-3.45888922
FAST,FAST,FREAK,MAT_BF,SEL_NN,7,10.74558254,15.15608686,-4.41050432
